0;0;0;0;land;false;unknown;0
1;252;16;236;land;false;forest;1
2;216;246;168;land;false;jungle;1
3;234;221;243;land;false;desert;1
4;201;176;185;land;false;forest;1
5;68;251;228;land;false;forest;1
6;91;236;194;land;false;forest;1
7;234;224;199;land;false;plains;1
8;210;198;243;land;false;forest;1
9;89;242;171;land;false;forest;1
10;199;193;245;land;false;forest;1
11;217;215;234;land;false;plains;1
12;246;77;244;land;false;forest;1
13;249;181;153;land;false;plains;1
14;250;62;200;land;false;forest;1
15;204;224;85;land;false;forest;1
16;153;136;239;land;false;forest;1
17;172;252;194;land;true;plains;1
18;211;185;181;land;false;plains;1
19;166;155;180;land;false;forest;1
20;85;226;207;land;false;plains;1
21;188;183;212;land;false;forest;1
22;208;239;107;land;false;forest;1
23;222;83;246;land;false;forest;1
24;223;125;220;land;false;plains;1
25;235;100;228;land;false;plains;1
26;104;201;212;land;false;plains;1
27;246;187;204;land;false;hills;1
28;171;198;235;land;false;forest;1
29;240;215;130;land;false;jungle;1
30;215;239;134;land;false;plains;1
31;194;245;210;land;false;plains;1
32;233;121;180;land;false;forest;1
33;226;232;250;land;false;plains;1
34;246;90;226;land;false;jungle;1
35;251;219;173;land;true;plains;1
36;246;184;213;land;false;forest;1
37;68;234;227;land;false;desert;1
38;234;122;218;land;false;forest;1
39;235;193;198;land;false;plains;1
40;96;245;171;land;false;forest;1
41;156;187;186;land;false;forest;1
42;100;173;248;land;false;forest;1
43;133;227;207;land;false;desert;1
44;138;144;247;land;false;plains;1
45;235;102;172;land;false;forest;1
46;204;178;226;land;false;plains;1
47;222;174;109;land;false;plains;1
48;247;197;234;land;false;forest;1
49;190;99;227;land;false;plains;1
50;121;192;195;land;false;plains;1
51;217;107;188;land;false;forest;1
52;216;249;73;land;false;forest;1
53;235;169;175;land;false;desert;1
54;166;155;207;land;false;forest;1
55;174;147;180;land;false;forest;1
56;196;160;215;land;false;forest;1
57;156;226;123;land;false;plains;1
58;128;196;213;land;false;forest;1
59;210;226;108;land;false;plains;1
60;236;169;217;land;false;plains;1
61;233;234;90;land;false;forest;1
62;197;232;147;land;false;hills;1
63;238;211;91;land;true;desert;1
64;213;210;156;land;false;forest;1
65;227;157;120;land;false;forest;1
66;242;197;164;land;false;plains;1
67;165;234;229;land;false;plains;1
68;184;236;227;land;false;forest;1
69;210;166;183;land;false;plains;1
70;231;247;237;land;false;plains;1
71;220;203;200;land;false;plains;1
72;177;157;243;land;false;forest;1
73;249;179;125;land;false;plains;1
74;248;230;82;land;false;jungle;1
75;194;241;188;land;false;forest;1
76;250;81;240;land;true;plains;1
77;234;247;78;land;false;forest;1
78;190;201;140;land;false;forest;1
79;217;249;45;land;false;forest;1
80;148;242;178;land;false;plains;1
81;156;100;250;land;false;forest;1
82;232;125;179;land;false;plains;1
83;233;226;148;land;false;plains;1
84;99;218;209;land;false;desert;1
85;162;250;159;land;false;plains;1
86;228;161;195;land;false;forest;1
87;188;245;162;land;false;desert;1
88;248;221;53;land;false;desert;1
89;210;171;140;land;false;plains;1
90;242;233;33;land;false;plains;1
91;216;246;84;land;false;desert;1
92;124;222;253;land;false;forest;1
93;142;243;133;land;false;plains;1
94;243;177;128;land;false;forest;1
95;161;179;188;land;false;plains;1
96;119;233;168;land;false;plains;1
97;160;211;179;land;false;forest;1
98;99;208;231;land;false;forest;1
99;193;175;185;land;false;forest;1
